Format, Filename extension, Created by, Introduced in, Based on, Compression, Integrity check, Recovery record, Encryption supported, Unicode filenames, Modification date resolution, Pre-processing, License
LHA (also LZH), .lzh  .lha, Haruyasu Yoshizaki, 1988, Frozen, {{yes}}, Only on recent LHA releases, {{no}}, {{No}}, {{no}}, 1–2 s, {{dunno}}, {{dunno}}
LZX, .lzx, Jonathan Forbes and Tomi Poutanen, 1995, LZ77, {{yes}}, Only on recent LZX releases, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
ISO image, .iso  .img  .ima, ISO 9660, 1988, High Sierra Format, {{no}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
SparkFS, .arc, David Pilling, 1989, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
WinMount format, .mou, ?, 2007, ?, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{yes}}, {{dunno}}, {{dunno}}, {{nonfree|Proprietary software}}
Macintosh Disk Image, .dmg, Apple Computer, 2001 Mac OS X, Original, {{yes}}, {{yes}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
Partition Image (PartImage), .partimg, François Dupoux and Franck Ladurelle, 2000, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{free|GPLv2}}
PAQ Family (Several formats){{ref|a4|4}}, .paq#*  .lpaq#*, Matt Mahoney, 2002–2006, Original, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
PEA, .pea, Giorgio Tani, 2006, Original  Deflate based compression, {{yes}}, {{yes}} Adler32  CRC32  CRC64  MD5  SHA1  RIPEMD-160  SHA256  SHA512  Whirlpool, {{no}}, {{yes}} Authenticated Encryption  AES128 and AES256 in EAX mode, {{yes}} system dependent, {{yes}} arbitrary, {{dunno}}, {{free|Public domain}}
PIM, .pim, Ilia Muraviev, 2004–2008, Original, {{yes}}, {{yes}}, {{no}}, {{no}}, {{yes}}, {{no}}, {{dunno}}, {{dunno}}
Quadruple D, .qda, Taku Hayase (aka sandman), 1997, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}, {{dunno}}
RAR, .rar, Eugene Roshal, 1993, Original, {{yes}}, {{yes}}  CRC32  BLAKE2, {{yes}}  Reed–Solomon, {{yes}}  AES-256 for RAR 5.0 archives, {{yes}}  UTF-8, 2 s  1 s  6.5536 ms  25.6 µs or 100 ns{{ref|3|3}}, {{dropped}}, {{nonfree|Proprietary software}}
RK, .rk, M Software  Ltd., 2004, Original, {{yes}}, {{yes}}, {{no}}, {{yes}}  AES  Square  Twofish, {{yes}}, 1 s, {{dunno}}, {{dunno}}
NuFX, .shk, Andy Nicholas, 1989, Original, {{yes}}, {{yes|CRC16}}, {{no}}, {{no}}, {{no}}, 1 s, {{dunno}}, {{dunno}}
StuffIt (also SIT), .sit, Raymond Lau, 1987, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{yes}}, {{dunno}}, {{dunno}}, {{dunno}}, {{nonfree|Proprietary software}}
StuffIt X (also SITx), .sitx, Aladdin/Allume Systems, 2002, {{dunno}}, {{yes}}, {{dunno}}, {{optional}}, {{yes}}  RC4 Blowfish  AES DES, {{yes}}, {{dunno}}, {{dunno}}, {{nonfree|Proprietary software}}
UltraCompressor II, .uc .uc0 .uc2 .ucn .ur2 .ue2, Nico de Vries, 1992–1996, LZ77 and Huffman coding, {{yes}}, {{yes}}, {{yes}}, {{yes}}  triple DES, {{dunno}}, ?, {{dunno}}, {{dunno}}
Windows Image, .wim  .swm  .esd, Microsoft, 2006, Original, {{yes}}, {{yes}}, {{no}}, {{partial}}{{ref|5|5}}, {{yes}}, 100 ns, {{dunno}}, {{dunno}}
ZIP, .zip, Phil Katz, 1989, DEFLATE, {{yes}}, {{yes}}, {{no}}, {{yes}}  AES, {{yes}}, 1–2 s  depending on version, {{dunno}}, {{dunno}}
ZPAQ, .zpaq, Matt Mahoney, 2009, PAQ, {{yes}}, {{yes}}  SHA-1, {{no}}, {{Yes}}  AES-256, {{yes}}, {{dunno}}, {{dunno}}, {{free|MIT  Public domain}}
