Engine, Origin, Designer, Vehicle, Use, Propellant, Specific impulse (s){{efn|name=VSL|At sea level if denoted SL  in vacuum otherwise}}, Thrust (N){{efn|name=VSL}}, Mass (kg), Thrust:{{zwsp}}weight ratio{{efn|Weight is calculated at standard gravity.}}, Chamber pressure (bar), Oxidiser:{{zwsp}}fuel ratio
RD-107A 14?22, {{RUS}}, NPO Energomash, Soyuz-FG Soyuz-2, 1st, RP-1?/?LOX, {{nts|320.2}}[44] {{nts|263.3}} (SL), {{nts|1 019 892}} {{nts|839 449}} (SL), {{nts|1 090}}, {{nts|78.53}}, {{nts|61.2}}, 
RD-108A 14?21, {{RUS}}, NPO Energomash, Soyuz-FG Soyuz-2, 2nd, RP-1?/?LOX, {{nts|320.6}}[44] {{nts|257.7}} (SL), {{nts|921 825}} {{nts|792 377}} (SL), {{nts|1 075}}, {{nts|75.16}}, {{nts|55.5}}, 
RD-171M{{efn|name=RD-170|Most powerful multi-chamber rocket engine in the world}}11?520, {{RUS}}, NPO Energomash, Zenit-2M Zenit-3SL Zenit-3SLB Zenit-3SLBF Soyuz-5, 1st, RP-1?/?LOX, {{nts|337.2}}[45] {{nts|309.5}} (SL), {{nts|7 904 160}} {{nts|7 256 921}} (SL), {{nts|9 300}}, {{nts|79.57}}, {{nts|250}}, 
RD-180, {{RUS}}, NPO Energomash, Atlas V Atlas III, 1st, RP-1?/?LOX, {{nts|338.4}}[46] {{nts|311.9}} (SL), {{nts|4 152 136}} {{nts|3 826 555}} (SL), {{nts|5 480}}, {{nts|71.2}}, {{nts|261.7}}, 2.72
RD-181, {{RUS}}, NPO Energomash, Antares 200, 1st, RP-1?/?LOX, {{nts|339.2}}[47] {{nts|311.9}} (SL), {{nts|2 085 000}} {{nts|1 922 000}} (SL), {{nts|2 200}}, {{nts|89}}, {{nts|262.6}}, 
RD-191, {{RUS}}, NPO Energomash, Angara, 1st, RP-1?/?LOX, {{nts|337.5}}[48] {{nts|311.2}} (SL), {{nts|2 084 894}} {{nts|1 922 103}} (SL), {{nts|2 200}}, {{nts|89.09}}, {{nts|262.6}}, 
RD-193, {{RUS}}, NPO Energomash, Soyuz-2-1v, 1st, RP-1?/?LOX, {{nts|337.5}}[49] {{nts|311.2}}, {{nts|2 084 894}} {{nts|1 922 103}} (SL), {{nts|1 900}}, {{nts|103.15}}, , 
RD-276 14?14?, {{RUS}}, NPO Energomash, Proton-M, 1st, N2O4?/?UDMH, {{nts|315.8}}[50] {{nts|288}} (SL), {{nts|1 831 882}} {{nts|1 671 053}} (SL), {{nts|1 120}}, {{nts|171.2}}, {{nts|168.5}}, 
RD-8 11D513, {{USSR}}, Pivdenne/Pivdenmash, Zenit, 2nd vernier, RP-1?/?LOX, {{nts|342}}, {{nts|78 450}}, {{nts|380}}, , 77.47, 2.4
RD-801, {{UKR}}, Pivdenne/Pivdenmash, Mayak, 1st, RP-1?/?LOX, , {{nts|1 340 000}}  1 198 000 (SL), {{nts|1 630}}, , 180, 2.65
RD-805 (RD-802), {{UKR}}, Pivdenne/Pivdenmash, , Upper, RP-1?/?LOX, , , , , , 
RD-809 (RD-809M), {{UKR}}, Pivdenne/Pivdenmash, Antares, Upper, RP-1?/?LOX, , , , , , 
RD-809K, {{UKR}}, Pivdenne/Pivdenmash, Mayak, Upper, RP-1?/?LOX, , , , , , 
RD-810, {{UKR}}, Pivdenne/Pivdenmash, Mayak  Zenit, 1st, RP-1?/?LOX, , {{nts|2 105 000}} 1 876 000 (SL), {{nts|2 800}}, , 180, 2.65
RD-843, {{UKR}}, Pivdenne/Pivdenmash, Vega, upper, N2O4?/?UDMH, 315.5, {{nts|2 452 000}}, {{nts|15.93}}, , 20.4, 2.0, 
RD-861K, {{UKR}}, Pivdenne/Pivdenmash, (Cyclone-4M), 3rd, N2O4?/?UDMH, , , , , , 
Reaver 1[21], {{Flag|USA}}, Firefly Aerospace, Alpha, 1st, RP-1?/?LOX, {{nts|295.6}}, {{nts|184 000}}, , , , 
RL-10A-4-2[51], {{Flag|USA}}, Aerojet Rocketdyne, Atlas IIIB Atlas V, Upper, LH2?/?LOX, {{nts|451}}, {{nts|99 195}}, {{nts|168}}, {{nts|60.27}}, 42, 5.5
RL-10B-2[51], {{Flag|USA}}, Aerojet Rocketdyne, Delta III Delta IV SLS, Upper, LH2?/?LOX, {{nts|465.5}}, {{nts|110 093}}, {{nts|301}}, {{nts|37.27}}, {{nts|44}}, 5.88
RL-10C-1[51], {{Flag|USA}}, Aerojet Rocketdyne, Delta III Delta IV SLS  Vulcan, Upper, LH2?/?LOX, {{nts|450}}, {{nts|101 820}}, {{nts|191}}, {{nts|54.5}}, {{nts|44}}, 5.5
RS-25, {{Flag|USA}}, Rocketdyne, Space Shuttle SLS, 1st, LH2?/?LOX, {{nts|452.3}} {{nts|366}} (SL), {{nts|2 279 000}} {{nts|1 860 000}} (SL)[52], {{nts|3 526}}, {{nts|53.79}}, {{nts|206.4}}, 
RS-68A{{efn|Most powerful hydrogen-fueled engine in the world}}, {{Flag|USA}}, Rocketdyne, Delta IV Delta IV Heavy, 1st, LH2?/?LOX, {{nts|414}}[53] {{nts|365}} (SL), {{nts|3 560 000}} {{nts|3 137 000}} (SL), {{nts|6 747}}, {{nts|53.80}}, {{nts|196}}{{Unreliable source?|date=June 2017}}, 
Rutherford, {{NZL}} {{Flag|USA}}, Rocket Lab, Electron, 1st, RP-1?/?LOX, 311, 24 465 {{nts|16 890}} (SL), , , , 
Rutherford Vacuum, {{NZL}} {{Flag|USA}}, Rocket Lab, Electron, 2nd, RP-1?/?LOX, 343, 24 465, , , , 
S200, {{IND}}, SDSC, GSLV Mk III, Booster, HTPB, {{nts|274.5}}[54], {{nts|5 150 000}}[55][56][57], {{nts|207 000}} with fuel[54], , , 
SCE-200, {{IND}}, LPSC, GSLV Mk III ULV, Upper  main, RP-1?/?LOX, {{nts|335}} {{nts|299}} (SL), {{nts|2 030 000}} {{nts|1 820 000}} (SL), {{nts|2700}}, , {{nts|180}}, 
SLS Solid Rocket Booster{{efn|Largest  most powerful solid-fuel rocket motor ever built}}, {{Flag|USA}}, Orbital ATK, SLS, Booster, PBAN, {{nts|267}}, {{nts|16 000 000}}, {{nts|730 000}} with fuel, , , 
SLV-1, {{IND}}, Godrej & Boyce, PSLV, Booster, HTPB, {{nts|253}}[58], {{nts|502 600}}, {{nts|10 800}} with fuel, , {{nts|43}}, 
SPT-100, {{RUS}}, OKB Fakel, LS-1300 satellites, Vacuum, Xenon, {{nts|1 500}} @1.35 kW, {{nts|0.083}} @1.35 kW, {{nts|3.5}}, , , 
SRB-A, {{JPN}}, IHI Aerospace JAXA, H-IIA, Booster, HTPB, {{nts|280}}[59], {{nts|2 250 000}}, {{nts|76 400}} with fuel, , , 
SRB-A3, {{JPN}}, IHI Aerospace JAXA, H-IIB Epsilon, Booster, BP-207J[60], {{nts|283.6}}[60], {{nts|2 305 000}} {{nts|2 150 000}} (SL), {{nts|76 600}} with fuel, , {{nts|111}}, 
TQ-12[61], {{Flag|China}}, Landspace, ZQ-2, 1st, CH4?/?LOX, {{nts|284}}, {{nts|667 000}} (SL), , , {{nts|101}}, 
VASIMR, {{Flag|USA}}, Ad Astra Rocket Company, , Vacuum, Argon, {{nts|5 000}} @200 kW, {{nts|5.7}} @200 kW, , , , 
Vikas (rocket engine), {{IND}}, LPSC, {{plainlist| PSLV GSLV GSLV Mk III }}, 2nd  main  booster, N2O4?/?UDMH, {{nts|262}}, {{nts|680 500}}–804 500 {{nts|600 500}}–756 500 (SL), , , {{nts|53.0}}–58.5, 
Vinci, {{EUR}}, Snecma, Ariane 6, Upper, LH2?/?LOX, {{nts|467}}[62], {{nts|180 000}}, {{nts|280}}, {{nts|65.60}}, {{nts|61}}, 
Vulcain 2, {{EUR}}, Snecma, Ariane 5, 1st, LH2?/?LOX, {{nts|429}}[63] {{nts|318}} (SL)[64], {{nts|1 359 000}}[63] {{nts|939 500}} (SL)[64], {{nts|1 800}}[63], {{nts|77.04}}, {{nts|117.3}}[63], 
XIPS-25, {{Flag|USA}}, Boeing, Boeing 702 satellites, Vacuum, Xenon, {{nts|3 500}} @4.5 kW, {{nts|0.165}} @4.5 kW, , , , 
YF-100, {{CHN}}, AALPT, {{plainlist| Long March 5 Long March 6 Long March 7 }}, Booster  1st, RP-1?/?LOX, {{nts|335}}[65] {{nts|300}} (SL), {{nts|1 340 000}} {{nts|1 200 000}} (SL), , , {{nts|180}}, 
YF-115, {{CHN}}, AALPT, {{plainlist| Long March 6 Long March 7 }}, 2nd, RP-1?/?LOX, {{nts|341.5}}, {{nts|176 500}}, , , , 
YF-21B, {{CHN}}, AALPT, {{plainlist| Long March 2E Long March 2F Long March 3 }}, Booster  1st, N2O4?/?UDMH, {{nts|260.66}} (SL)[66], {{nts|740 400}} (SL)[66], , , , 
YF-21C, {{CHN}}, AALPT, {{plainlist| Long March 2C Long March 2D Long March 3A Long March 3B Long March 3C Long March 4B Long March 4C }}, 1st, N2O4?/?UDMH, {{nts|260.7}} (SL)[66], {{nts|740 400}} (SL)[66], , , , 
YF-25, {{CHN}}, AALPT, {{plainlist| Long March 3B Long March 3C }}, Booster, N2O4?/?UDMH, {{nts|260.66}} (SL)[66], {{nts|740 400}} (SL)[66], , , , 
YF-22B, {{CHN}}, AALPT, {{plainlist| Long March 2E Long March 2F }}, 2nd, N2O4?/?UDMH, {{nts|298.0}}[66], {{nts|738 400}}, , , , 
YF-22C, {{CHN}}, AALPT, {{plainlist| Long March 2C Long March 2D Long March 4B Long March 4C }}, 2nd, N2O4?/?UDMH, {{nts|298.0}}[66], {{nts|742 040}}, , , , 
YF-22D, {{CHN}}, AALPT, {{plainlist| Long March 3 }}, 2nd, N2O4?/?UDMH, {{nts|298.0}}[66], {{nts|741 400}}, , , , 
YF-22E, {{CHN}}, AALPT, {{plainlist| Long March 3A Long March 3B Long March 3C }}, 2nd, N2O4?/?UDMH, {{nts|298.0}}[66], {{nts|741 400}}, , , , 
YF-40, {{CHN}}, AALPT, {{plainlist| Long March 4B Long March 4C }}, 3rd, N2O4?/?UDMH, {{nts|303}}, {{nts|103 000}}, , , , 
YF-50D, {{CHN}}, AALPT, {{plainlist| Long March 3B Long March 3C Long March 5 Long March 7 }}, Upper, N2O4?/?UDMH, {{nts|315.5}}, {{nts|6 500}}, , , , 
YF-73, {{CHN}}, AALPT, Long March 3, 3rd, LH2?/?LOX, {{nts|420.0}}, {{nts|44 150}}, , , , 
YF-75, {{CHN}}, AALPT, {{plainlist| Long March 3A Long March 3B Long March 3C }}, 3rd, LH2?/?LOX, {{nts|438.0}}[66], {{nts|167 170}}, , , , 
YF-75D, {{CHN}}, AALPT, Long March 5, 2nd, LH2?/?LOX, {{nts|442.0}}, {{nts|86 260}}, , , , 
YF-77, {{CHN}}, AALPT, Long March 5, 1st, LH2?/?LOX, {{nts|430}} {{nts|310.2}} (SL), {{nts|700 000}} {{nts|510 000}} (SL), {{nts|2 700}}, , {{nts|102}}, 
Zefiro 9A, {{EU}}, Avio, Vega, 3rd, Solid, , {{nts|72 000}}, , , {{nts|75}}, 
Zefiro 23, {{EU}}, Avio, Vega, 2nd, Solid, , {{nts|209 000}} (SL), , , , 
